frl_apartment_3_00000 0 1 2 0.08810230929021501 0.03072440320270034
frl_apartment_3_00000 0 1 3 0.08810230929021501 0.17527464281153188
frl_apartment_3_00000 0 1 4 0.08810230929021501 -0.09774312300890707
frl_apartment_3_00001 0 1 2 0.08810230929021501 0.03072440320270034
frl_apartment_3_00001 0 1 3 0.08810230929021501 0.17527464281153188
frl_apartment_3_00001 0 1 4 0.08810230929021501 -0.09774312300890707
frl_apartment_3_00002 0 1 2 0.08810230929021501 0.03072440320270034
frl_apartment_3_00002 0 1 3 0.08810230929021501 0.17527464281153188
frl_apartment_3_00002 0 1 4 0.08810230929021501 -0.09774312300890707
frl_apartment_3_00003 0 1 2 0.08810230929021501 0.03072440320270034
frl_apartment_3_00003 0 1 3 0.08810230929021501 0.17527464281153188
frl_apartment_3_00003 0 1 4 0.08810230929021501 -0.09774312300890707
frl_apartment_3_00004 0 1 2 0.08810230929021501 0.03072440320270034
frl_apartment_3_00004 0 1 3 0.08810230929021501 0.17527464281153188
frl_apartment_3_00004 0 1 4 0.08810230929021501 -0.09774312300890707
frl_apartment_3_00005 0 1 2 0.08810230929021501 0.03072440320270034
frl_apartment_3_00005 0 1 3 0.08810230929021501 0.17527464281153188
frl_apartment_3_00005 0 1 4 0.08810230929021501 -0.09774312300890707
frl_apartment_3_00010 0 1 2 0.05453508280989564 0.026312786245514513
frl_apartment_3_00010 0 1 3 0.05453508280989564 0.07852943540264758
frl_apartment_3_00010 0 1 4 0.05453508280989564 -0.08538965993048434
frl_apartment_3_00011 0 1 2 0.05453508280989564 0.026312786245514513
frl_apartment_3_00011 0 1 3 0.05453508280989564 0.07852943540264758
frl_apartment_3_00011 0 1 4 0.05453508280989564 -0.08538965993048434
frl_apartment_3_00012 0 1 2 0.05453508280989564 0.026312786245514513
frl_apartment_3_00012 0 1 3 0.05453508280989564 0.07852943540264758
frl_apartment_3_00012 0 1 4 0.05453508280989564 -0.08538965993048434
frl_apartment_3_00013 0 1 2 0.05453508280989564 0.026312786245514513
frl_apartment_3_00013 0 1 3 0.05453508280989564 0.07852943540264758
frl_apartment_3_00013 0 1 4 0.05453508280989564 -0.08538965993048434
frl_apartment_3_00014 0 1 2 0.05453508280989564 0.026312786245514513
frl_apartment_3_00014 0 1 3 0.05453508280989564 0.07852943540264758
frl_apartment_3_00014 0 1 4 0.05453508280989564 -0.08538965993048434
frl_apartment_3_00015 0 1 2 0.05453508280989564 0.026312786245514513
frl_apartment_3_00015 0 1 3 0.05453508280989564 0.07852943540264758
frl_apartment_3_00015 0 1 4 0.05453508280989564 -0.08538965993048434
frl_apartment_3_00020 0 1 2 0.03269071514978814 0.02073472510315647
frl_apartment_3_00020 0 1 3 0.03269071514978814 0.11004417482226478
frl_apartment_3_00020 0 1 4 0.03269071514978814 -0.06481429049825453
frl_apartment_3_00021 0 1 2 0.03269071514978814 0.02073472510315647
frl_apartment_3_00021 0 1 3 0.03269071514978814 0.11004417482226478
frl_apartment_3_00021 0 1 4 0.03269071514978814 -0.06481429049825453
frl_apartment_3_00022 0 1 2 0.03269071514978814 0.02073472510315647
frl_apartment_3_00022 0 1 3 0.03269071514978814 0.11004417482226478
frl_apartment_3_00022 0 1 4 0.03269071514978814 -0.06481429049825453
frl_apartment_3_00023 0 1 2 0.03269071514978814 0.02073472510315647
frl_apartment_3_00023 0 1 3 0.03269071514978814 0.11004417482226478
frl_apartment_3_00023 0 1 4 0.03269071514978814 -0.06481429049825453
frl_apartment_3_00024 0 1 2 0.03269071514978814 0.02073472510315647
frl_apartment_3_00024 0 1 3 0.03269071514978814 0.11004417482226478
frl_apartment_3_00024 0 1 4 0.03269071514978814 -0.06481429049825453
frl_apartment_3_00025 0 1 2 0.03269071514978814 0.02073472510315647
frl_apartment_3_00025 0 1 3 0.03269071514978814 0.11004417482226478
frl_apartment_3_00025 0 1 4 0.03269071514978814 -0.06481429049825453
frl_apartment_3_00030 0 1 2 0.053443316877292535 0.04309378306359388
frl_apartment_3_00030 0 1 3 0.053443316877292535 0.105094160437125
frl_apartment_3_00030 0 1 4 0.053443316877292535 -0.08075120399226741
frl_apartment_3_00031 0 1 2 0.053443316877292535 0.04309378306359388
frl_apartment_3_00031 0 1 3 0.053443316877292535 0.105094160437125
frl_apartment_3_00031 0 1 4 0.053443316877292535 -0.08075120399226741
frl_apartment_3_00032 0 1 2 0.053443316877292535 0.04309378306359388
frl_apartment_3_00032 0 1 3 0.053443316877292535 0.105094160437125
frl_apartment_3_00032 0 1 4 0.053443316877292535 -0.08075120399226741
frl_apartment_3_00033 0 1 2 0.053443316877292535 0.04309378306359388
frl_apartment_3_00033 0 1 3 0.053443316877292535 0.105094160437125
frl_apartment_3_00033 0 1 4 0.053443316877292535 -0.08075120399226741
frl_apartment_3_00034 0 1 2 0.053443316877292535 0.04309378306359388
frl_apartment_3_00034 0 1 3 0.053443316877292535 0.105094160437125
frl_apartment_3_00034 0 1 4 0.053443316877292535 -0.08075120399226741
frl_apartment_3_00035 0 1 2 0.053443316877292535 0.04309378306359388
frl_apartment_3_00035 0 1 3 0.053443316877292535 0.105094160437125
frl_apartment_3_00035 0 1 4 0.053443316877292535 -0.08075120399226741
frl_apartment_3_00040 0 1 2 0.05493856404273559 0.04088992008604689
frl_apartment_3_00040 0 1 3 0.05493856404273559 0.14365301547547538
frl_apartment_3_00040 0 1 4 0.05493856404273559 -0.09901549155684511
frl_apartment_3_00041 0 1 2 0.05493856404273559 0.04088992008604689
frl_apartment_3_00041 0 1 3 0.05493856404273559 0.14365301547547538
frl_apartment_3_00041 0 1 4 0.05493856404273559 -0.09901549155684511
frl_apartment_3_00042 0 1 2 0.05493856404273559 0.04088992008604689
frl_apartment_3_00042 0 1 3 0.05493856404273559 0.14365301547547538
frl_apartment_3_00042 0 1 4 0.05493856404273559 -0.09901549155684511
frl_apartment_3_00043 0 1 2 0.05493856404273559 0.04088992008604689
frl_apartment_3_00043 0 1 3 0.05493856404273559 0.14365301547547538
frl_apartment_3_00043 0 1 4 0.05493856404273559 -0.09901549155684511
frl_apartment_3_00044 0 1 2 0.05493856404273559 0.04088992008604689
frl_apartment_3_00044 0 1 3 0.05493856404273559 0.14365301547547538
frl_apartment_3_00044 0 1 4 0.05493856404273559 -0.09901549155684511
frl_apartment_3_00045 0 1 2 0.05493856404273559 0.04088992008604689
frl_apartment_3_00045 0 1 3 0.05493856404273559 0.14365301547547538
frl_apartment_3_00045 0 1 4 0.05493856404273559 -0.09901549155684511
frl_apartment_3_00050 0 1 2 0.09230707305101268 0.037272856539579055
frl_apartment_3_00050 0 1 3 0.09230707305101268 0.15193475289777214
frl_apartment_3_00050 0 1 4 0.09230707305101268 -0.1610816629373577
frl_apartment_3_00051 0 1 2 0.09230707305101268 0.037272856539579055
frl_apartment_3_00051 0 1 3 0.09230707305101268 0.15193475289777214
frl_apartment_3_00051 0 1 4 0.09230707305101268 -0.1610816629373577
frl_apartment_3_00052 0 1 2 0.09230707305101268 0.037272856539579055
frl_apartment_3_00052 0 1 3 0.09230707305101268 0.15193475289777214
frl_apartment_3_00052 0 1 4 0.09230707305101268 -0.1610816629373577
