room_1_00000 0 1 2 0.04273773539657547 0.03207766965342673
room_1_00000 0 1 3 0.04273773539657547 0.13340592327110867
room_1_00000 0 1 4 0.04273773539657547 -0.04485054049274529
room_1_00001 0 1 2 0.04273773539657547 0.03207766965342673
room_1_00001 0 1 3 0.04273773539657547 0.13340592327110867
room_1_00001 0 1 4 0.04273773539657547 -0.04485054049274529
room_1_00002 0 1 2 0.04273773539657547 0.03207766965342673
room_1_00002 0 1 3 0.04273773539657547 0.13340592327110867
room_1_00002 0 1 4 0.04273773539657547 -0.04485054049274529
room_1_00003 0 1 2 0.04273773539657547 0.03207766965342673
room_1_00003 0 1 3 0.04273773539657547 0.13340592327110867
room_1_00003 0 1 4 0.04273773539657547 -0.04485054049274529
room_1_00004 0 1 2 0.04273773539657547 0.03207766965342673
room_1_00004 0 1 3 0.04273773539657547 0.13340592327110867
room_1_00004 0 1 4 0.04273773539657547 -0.04485054049274529
room_1_00005 0 1 2 0.04273773539657547 0.03207766965342673
room_1_00005 0 1 3 0.04273773539657547 0.13340592327110867
room_1_00005 0 1 4 0.04273773539657547 -0.04485054049274529
room_1_00010 0 1 2 0.06247749698450179 0.030968097859975563
room_1_00010 0 1 3 0.06247749698450179 0.16888045207902241
room_1_00010 0 1 4 0.06247749698450179 -0.16456020874335223
room_1_00011 0 1 2 0.06247749698450179 0.030968097859975563
room_1_00011 0 1 3 0.06247749698450179 0.16888045207902241
room_1_00011 0 1 4 0.06247749698450179 -0.16456020874335223
room_1_00012 0 1 2 0.06247749698450179 0.030968097859975563
room_1_00012 0 1 3 0.06247749698450179 0.16888045207902241
room_1_00012 0 1 4 0.06247749698450179 -0.16456020874335223
room_1_00013 0 1 2 0.06247749698450179 0.030968097859975563
room_1_00013 0 1 3 0.06247749698450179 0.16888045207902241
room_1_00013 0 1 4 0.06247749698450179 -0.16456020874335223
room_1_00014 0 1 2 0.06247749698450179 0.030968097859975563
room_1_00014 0 1 3 0.06247749698450179 0.16888045207902241
room_1_00014 0 1 4 0.06247749698450179 -0.16456020874335223
room_1_00015 0 1 2 0.06247749698450179 0.030968097859975563
room_1_00015 0 1 3 0.06247749698450179 0.16888045207902241
room_1_00015 0 1 4 0.06247749698450179 -0.16456020874335223
room_1_00020 0 1 2 0.03326918788474317 0.027653461381362876
room_1_00020 0 1 3 0.03326918788474317 0.13602810790842312
room_1_00020 0 1 4 0.03326918788474317 -0.16137989396104443
room_1_00021 0 1 2 0.03326918788474317 0.027653461381362876
room_1_00021 0 1 3 0.03326918788474317 0.13602810790842312
room_1_00021 0 1 4 0.03326918788474317 -0.16137989396104443
room_1_00022 0 1 2 0.03326918788474317 0.027653461381362876
room_1_00022 0 1 3 0.03326918788474317 0.13602810790842312
room_1_00022 0 1 4 0.03326918788474317 -0.16137989396104443
room_1_00023 0 1 2 0.03326918788474317 0.027653461381362876
room_1_00023 0 1 3 0.03326918788474317 0.13602810790842312
room_1_00023 0 1 4 0.03326918788474317 -0.16137989396104443
room_1_00024 0 1 2 0.03326918788474317 0.027653461381362876
room_1_00024 0 1 3 0.03326918788474317 0.13602810790842312
room_1_00024 0 1 4 0.03326918788474317 -0.16137989396104443
room_1_00025 0 1 2 0.03326918788474317 0.027653461381362876
room_1_00025 0 1 3 0.03326918788474317 0.13602810790842312
room_1_00025 0 1 4 0.03326918788474317 -0.16137989396104443
room_1_00030 0 1 2 0.07136734009169055 0.028414346064055743
room_1_00030 0 1 3 0.07136734009169055 0.11635070826584384
