apartment_0_00000 0 1 2 0.03582279388895905 0.02598240694300328
apartment_0_00000 0 1 3 0.03582279388895905 0.057293552325087635
apartment_0_00000 0 1 4 0.03582279388895905 -0.07784131185892931
apartment_0_00001 0 1 2 0.03582279388895905 0.02598240694300328
apartment_0_00001 0 1 3 0.03582279388895905 0.057293552325087635
apartment_0_00001 0 1 4 0.03582279388895905 -0.07784131185892931
apartment_0_00002 0 1 2 0.03582279388895905 0.02598240694300328
apartment_0_00002 0 1 3 0.03582279388895905 0.057293552325087635
apartment_0_00002 0 1 4 0.03582279388895905 -0.07784131185892931
apartment_0_00003 0 1 2 0.03582279388895905 0.02598240694300328
apartment_0_00003 0 1 3 0.03582279388895905 0.057293552325087635
apartment_0_00003 0 1 4 0.03582279388895905 -0.07784131185892931
apartment_0_00004 0 1 2 0.03582279388895905 0.02598240694300328
apartment_0_00004 0 1 3 0.03582279388895905 0.057293552325087635
apartment_0_00004 0 1 4 0.03582279388895905 -0.07784131185892931
apartment_0_00005 0 1 2 0.03582279388895905 0.02598240694300328
apartment_0_00005 0 1 3 0.03582279388895905 0.057293552325087635
apartment_0_00005 0 1 4 0.03582279388895905 -0.07784131185892931
apartment_0_00010 0 1 2 0.10563218152099393 0.09228996987114782
apartment_0_00010 0 1 3 0.10563218152099393 0.15051016283835095
apartment_0_00010 0 1 4 0.10563218152099393 -0.12246083135889059
apartment_0_00011 0 1 2 0.10563218152099393 0.09228996987114782
apartment_0_00011 0 1 3 0.10563218152099393 0.15051016283835095
apartment_0_00011 0 1 4 0.10563218152099393 -0.12246083135889059
apartment_0_00012 0 1 2 0.10563218152099393 0.09228996987114782
apartment_0_00012 0 1 3 0.10563218152099393 0.15051016283835095
apartment_0_00012 0 1 4 0.10563218152099393 -0.12246083135889059
apartment_0_00013 0 1 2 0.10563218152099393 0.09228996987114782
apartment_0_00013 0 1 3 0.10563218152099393 0.15051016283835095
apartment_0_00013 0 1 4 0.10563218152099393 -0.12246083135889059
apartment_0_00014 0 1 2 0.10563218152099393 0.09228996987114782
apartment_0_00014 0 1 3 0.10563218152099393 0.15051016283835095
apartment_0_00014 0 1 4 0.10563218152099393 -0.12246083135889059
apartment_0_00015 0 1 2 0.10563218152099393 0.09228996987114782
apartment_0_00015 0 1 3 0.10563218152099393 0.15051016283835095
apartment_0_00015 0 1 4 0.10563218152099393 -0.12246083135889059
