frl_apartment_5_00000 0 1 2 0.09105282264208975 0.06301466327802971
frl_apartment_5_00000 0 1 3 0.09105282264208975 0.1735945880184801
frl_apartment_5_00000 0 1 4 0.09105282264208975 -0.1038116512124223
frl_apartment_5_00001 0 1 2 0.09105282264208975 0.06301466327802971
frl_apartment_5_00001 0 1 3 0.09105282264208975 0.1735945880184801
frl_apartment_5_00001 0 1 4 0.09105282264208975 -0.1038116512124223
frl_apartment_5_00002 0 1 2 0.09105282264208975 0.06301466327802971
frl_apartment_5_00002 0 1 3 0.09105282264208975 0.1735945880184801
frl_apartment_5_00002 0 1 4 0.09105282264208975 -0.1038116512124223
frl_apartment_5_00003 0 1 2 0.09105282264208975 0.06301466327802971
frl_apartment_5_00003 0 1 3 0.09105282264208975 0.1735945880184801
frl_apartment_5_00003 0 1 4 0.09105282264208975 -0.1038116512124223
frl_apartment_5_00004 0 1 2 0.09105282264208975 0.06301466327802971
frl_apartment_5_00004 0 1 3 0.09105282264208975 0.1735945880184801
frl_apartment_5_00004 0 1 4 0.09105282264208975 -0.1038116512124223
frl_apartment_5_00005 0 1 2 0.09105282264208975 0.06301466327802971
frl_apartment_5_00005 0 1 3 0.09105282264208975 0.1735945880184801
frl_apartment_5_00005 0 1 4 0.09105282264208975 -0.1038116512124223
frl_apartment_5_00010 0 1 2 0.06952368079553162 0.04087607849972699
frl_apartment_5_00010 0 1 3 0.06952368079553162 0.13042200419734387
frl_apartment_5_00010 0 1 4 0.06952368079553162 -0.16553812034283283
frl_apartment_5_00011 0 1 2 0.06952368079553162 0.04087607849972699
frl_apartment_5_00011 0 1 3 0.06952368079553162 0.13042200419734387
frl_apartment_5_00011 0 1 4 0.06952368079553162 -0.16553812034283283
frl_apartment_5_00012 0 1 2 0.06952368079553162 0.04087607849972699
frl_apartment_5_00012 0 1 3 0.06952368079553162 0.13042200419734387
frl_apartment_5_00012 0 1 4 0.06952368079553162 -0.16553812034283283
frl_apartment_5_00013 0 1 2 0.06952368079553162 0.04087607849972699
frl_apartment_5_00013 0 1 3 0.06952368079553162 0.13042200419734387
frl_apartment_5_00013 0 1 4 0.06952368079553162 -0.16553812034283283
frl_apartment_5_00014 0 1 2 0.06952368079553162 0.04087607849972699
frl_apartment_5_00014 0 1 3 0.06952368079553162 0.13042200419734387
frl_apartment_5_00014 0 1 4 0.06952368079553162 -0.16553812034283283
frl_apartment_5_00015 0 1 2 0.06952368079553162 0.04087607849972699
frl_apartment_5_00015 0 1 3 0.06952368079553162 0.13042200419734387
frl_apartment_5_00015 0 1 4 0.06952368079553162 -0.16553812034283283
frl_apartment_5_00020 0 1 2 0.05231850439174121 0.04336446610137923
