office_1_00000 0 1 2 0.09233603967649234 0.03288506668808897
office_1_00000 0 1 3 0.09233603967649234 0.09468622975037116
office_1_00000 0 1 4 0.09233603967649234 -0.15041111632149523
office_1_00001 0 1 2 0.09233603967649234 0.03288506668808897
office_1_00001 0 1 3 0.09233603967649234 0.09468622975037116
office_1_00001 0 1 4 0.09233603967649234 -0.15041111632149523
office_1_00002 0 1 2 0.09233603967649234 0.03288506668808897
office_1_00002 0 1 3 0.09233603967649234 0.09468622975037116
office_1_00002 0 1 4 0.09233603967649234 -0.15041111632149523
office_1_00003 0 1 2 0.09233603967649234 0.03288506668808897
office_1_00003 0 1 3 0.09233603967649234 0.09468622975037116
office_1_00003 0 1 4 0.09233603967649234 -0.15041111632149523
office_1_00004 0 1 2 0.09233603967649234 0.03288506668808897
office_1_00004 0 1 3 0.09233603967649234 0.09468622975037116
office_1_00004 0 1 4 0.09233603967649234 -0.15041111632149523
office_1_00005 0 1 2 0.09233603967649234 0.03288506668808897
office_1_00005 0 1 3 0.09233603967649234 0.09468622975037116
office_1_00005 0 1 4 0.09233603967649234 -0.15041111632149523
office_1_00010 0 1 2 0.08513199480097784 0.06435506921588298
office_1_00010 0 1 3 0.08513199480097784 0.1549059431899315
office_1_00010 0 1 4 0.08513199480097784 -0.11365147084201965
office_1_00011 0 1 2 0.08513199480097784 0.06435506921588298
office_1_00011 0 1 3 0.08513199480097784 0.1549059431899315
office_1_00011 0 1 4 0.08513199480097784 -0.11365147084201965
office_1_00012 0 1 2 0.08513199480097784 0.06435506921588298
office_1_00012 0 1 3 0.08513199480097784 0.1549059431899315
office_1_00012 0 1 4 0.08513199480097784 -0.11365147084201965
office_1_00013 0 1 2 0.08513199480097784 0.06435506921588298
office_1_00013 0 1 3 0.08513199480097784 0.1549059431899315
office_1_00013 0 1 4 0.08513199480097784 -0.11365147084201965
office_1_00014 0 1 2 0.08513199480097784 0.06435506921588298
office_1_00014 0 1 3 0.08513199480097784 0.1549059431899315
office_1_00014 0 1 4 0.08513199480097784 -0.11365147084201965
office_1_00015 0 1 2 0.08513199480097784 0.06435506921588298
office_1_00015 0 1 3 0.08513199480097784 0.1549059431899315
office_1_00015 0 1 4 0.08513199480097784 -0.11365147084201965
office_1_00020 0 1 2 0.051446855764511495 0.02890997581558066
office_1_00020 0 1 3 0.051446855764511495 0.13296139646243882
office_1_00020 0 1 4 0.051446855764511495 -0.17279944182044804
office_1_00021 0 1 2 0.051446855764511495 0.02890997581558066
office_1_00021 0 1 3 0.051446855764511495 0.13296139646243882
office_1_00021 0 1 4 0.051446855764511495 -0.17279944182044804
office_1_00022 0 1 2 0.051446855764511495 0.02890997581558066
office_1_00022 0 1 3 0.051446855764511495 0.13296139646243882
office_1_00022 0 1 4 0.051446855764511495 -0.17279944182044804
office_1_00023 0 1 2 0.051446855764511495 0.02890997581558066
office_1_00023 0 1 3 0.051446855764511495 0.13296139646243882
office_1_00023 0 1 4 0.051446855764511495 -0.17279944182044804
office_1_00024 0 1 2 0.051446855764511495 0.02890997581558066
office_1_00024 0 1 3 0.051446855764511495 0.13296139646243882
office_1_00024 0 1 4 0.051446855764511495 -0.17279944182044804
office_1_00025 0 1 2 0.051446855764511495 0.02890997581558066
office_1_00025 0 1 3 0.051446855764511495 0.13296139646243882
office_1_00025 0 1 4 0.051446855764511495 -0.17279944182044804
office_1_00030 0 1 2 0.0852231158752452 0.07524976657216503
office_1_00030 0 1 3 0.0852231158752452 0.11513658850183092
office_1_00030 0 1 4 0.0852231158752452 -0.13947464788257907
office_1_00031 0 1 2 0.0852231158752452 0.07524976657216503
office_1_00031 0 1 3 0.0852231158752452 0.11513658850183092
office_1_00031 0 1 4 0.0852231158752452 -0.13947464788257907
office_1_00032 0 1 2 0.0852231158752452 0.07524976657216503
office_1_00032 0 1 3 0.0852231158752452 0.11513658850183092
office_1_00032 0 1 4 0.0852231158752452 -0.13947464788257907
office_1_00033 0 1 2 0.0852231158752452 0.07524976657216503
office_1_00033 0 1 3 0.0852231158752452 0.11513658850183092
office_1_00033 0 1 4 0.0852231158752452 -0.13947464788257907
office_1_00034 0 1 2 0.0852231158752452 0.07524976657216503
office_1_00034 0 1 3 0.0852231158752452 0.11513658850183092
office_1_00034 0 1 4 0.0852231158752452 -0.13947464788257907
office_1_00035 0 1 2 0.0852231158752452 0.07524976657216503
office_1_00035 0 1 3 0.0852231158752452 0.11513658850183092
office_1_00035 0 1 4 0.0852231158752452 -0.13947464788257907
office_1_00040 0 1 2 0.08969955387575668 0.05733358485484555
office_1_00040 0 1 3 0.08969955387575668 0.16955020543816174
office_1_00040 0 1 4 0.08969955387575668 -0.15606716203530402
office_1_00041 0 1 2 0.08969955387575668 0.05733358485484555
office_1_00041 0 1 3 0.08969955387575668 0.16955020543816174
office_1_00041 0 1 4 0.08969955387575668 -0.15606716203530402
office_1_00042 0 1 2 0.08969955387575668 0.05733358485484555
office_1_00042 0 1 3 0.08969955387575668 0.16955020543816174
office_1_00042 0 1 4 0.08969955387575668 -0.15606716203530402
office_1_00043 0 1 2 0.08969955387575668 0.05733358485484555
office_1_00043 0 1 3 0.08969955387575668 0.16955020543816174
office_1_00043 0 1 4 0.08969955387575668 -0.15606716203530402
office_1_00044 0 1 2 0.08969955387575668 0.05733358485484555
office_1_00044 0 1 3 0.08969955387575668 0.16955020543816174
office_1_00044 0 1 4 0.08969955387575668 -0.15606716203530402
office_1_00045 0 1 2 0.08969955387575668 0.05733358485484555
office_1_00045 0 1 3 0.08969955387575668 0.16955020543816174
office_1_00045 0 1 4 0.08969955387575668 -0.15606716203530402
office_1_00050 0 1 2 0.06053580831448882 0.024140848874954858
office_1_00050 0 1 3 0.06053580831448882 0.1415279728231279
office_1_00050 0 1 4 0.06053580831448882 -0.1745472010822405
office_1_00051 0 1 2 0.06053580831448882 0.024140848874954858
office_1_00051 0 1 3 0.06053580831448882 0.1415279728231279
office_1_00051 0 1 4 0.06053580831448882 -0.1745472010822405
office_1_00052 0 1 2 0.06053580831448882 0.024140848874954858
office_1_00052 0 1 3 0.06053580831448882 0.1415279728231279
office_1_00052 0 1 4 0.06053580831448882 -0.1745472010822405
office_1_00053 0 1 2 0.06053580831448882 0.024140848874954858
office_1_00053 0 1 3 0.06053580831448882 0.1415279728231279
office_1_00053 0 1 4 0.06053580831448882 -0.1745472010822405
office_1_00054 0 1 2 0.06053580831448882 0.024140848874954858
office_1_00054 0 1 3 0.06053580831448882 0.1415279728231279
office_1_00054 0 1 4 0.06053580831448882 -0.1745472010822405
office_1_00055 0 1 2 0.06053580831448882 0.024140848874954858
office_1_00055 0 1 3 0.06053580831448882 0.1415279728231279
office_1_00055 0 1 4 0.06053580831448882 -0.1745472010822405
office_1_00060 0 1 2 0.0515221489685552 0.036201272755173916
office_1_00060 0 1 3 0.0515221489685552 0.05713198552799756
office_1_00060 0 1 4 0.0515221489685552 -0.08151563381581149
office_1_00061 0 1 2 0.0515221489685552 0.036201272755173916
office_1_00061 0 1 3 0.0515221489685552 0.05713198552799756
office_1_00061 0 1 4 0.0515221489685552 -0.08151563381581149
office_1_00062 0 1 2 0.0515221489685552 0.036201272755173916
office_1_00062 0 1 3 0.0515221489685552 0.05713198552799756
office_1_00062 0 1 4 0.0515221489685552 -0.08151563381581149
office_1_00063 0 1 2 0.0515221489685552 0.036201272755173916
office_1_00063 0 1 3 0.0515221489685552 0.05713198552799756
office_1_00063 0 1 4 0.0515221489685552 -0.08151563381581149
office_1_00064 0 1 2 0.0515221489685552 0.036201272755173916
office_1_00064 0 1 3 0.0515221489685552 0.05713198552799756
office_1_00064 0 1 4 0.0515221489685552 -0.08151563381581149
office_1_00065 0 1 2 0.0515221489685552 0.036201272755173916
office_1_00065 0 1 3 0.0515221489685552 0.05713198552799756
office_1_00065 0 1 4 0.0515221489685552 -0.08151563381581149
office_1_00070 0 1 2 0.09744825495073503 0.026941488260687388
office_1_00070 0 1 3 0.09744825495073503 0.1664599959031554
office_1_00070 0 1 4 0.09744825495073503 -0.17717516583216017
office_1_00071 0 1 2 0.09744825495073503 0.026941488260687388
office_1_00071 0 1 3 0.09744825495073503 0.1664599959031554
office_1_00071 0 1 4 0.09744825495073503 -0.17717516583216017
office_1_00072 0 1 2 0.09744825495073503 0.026941488260687388
office_1_00072 0 1 3 0.09744825495073503 0.1664599959031554
office_1_00072 0 1 4 0.09744825495073503 -0.17717516583216017
office_1_00073 0 1 2 0.09744825495073503 0.026941488260687388
office_1_00073 0 1 3 0.09744825495073503 0.1664599959031554
office_1_00073 0 1 4 0.09744825495073503 -0.17717516583216017
office_1_00074 0 1 2 0.09744825495073503 0.026941488260687388
office_1_00074 0 1 3 0.09744825495073503 0.1664599959031554
office_1_00074 0 1 4 0.09744825495073503 -0.17717516583216017
office_1_00075 0 1 2 0.09744825495073503 0.026941488260687388
office_1_00075 0 1 3 0.09744825495073503 0.1664599959031554
office_1_00075 0 1 4 0.09744825495073503 -0.17717516583216017
office_1_00080 0 1 2 0.046679463874682865 0.024746710594889983
office_1_00080 0 1 3 0.046679463874682865 0.04980383699593509
office_1_00080 0 1 4 0.046679463874682865 -0.07934932962864226
office_1_00081 0 1 2 0.046679463874682865 0.024746710594889983
office_1_00081 0 1 3 0.046679463874682865 0.04980383699593509
office_1_00081 0 1 4 0.046679463874682865 -0.07934932962864226
office_1_00082 0 1 2 0.046679463874682865 0.024746710594889983
office_1_00082 0 1 3 0.046679463874682865 0.04980383699593509
office_1_00082 0 1 4 0.046679463874682865 -0.07934932962864226
office_1_00083 0 1 2 0.046679463874682865 0.024746710594889983
office_1_00083 0 1 3 0.046679463874682865 0.04980383699593509
office_1_00083 0 1 4 0.046679463874682865 -0.07934932962864226
office_1_00084 0 1 2 0.046679463874682865 0.024746710594889983
office_1_00084 0 1 3 0.046679463874682865 0.04980383699593509
office_1_00084 0 1 4 0.046679463874682865 -0.07934932962864226
office_1_00085 0 1 2 0.046679463874682865 0.024746710594889983
office_1_00085 0 1 3 0.046679463874682865 0.04980383699593509
office_1_00085 0 1 4 0.046679463874682865 -0.07934932962864226
office_1_00090 0 1 2 0.03814907365883029 0.021699522635157235
