frl_apartment_4_00000 0 1 2 0.09371044405313682 0.03788900576727337
frl_apartment_4_00000 0 1 3 0.09371044405313682 0.1481490572193969
frl_apartment_4_00000 0 1 4 0.09371044405313682 -0.11390866367646708
frl_apartment_4_00001 0 1 2 0.09371044405313682 0.03788900576727337
frl_apartment_4_00001 0 1 3 0.09371044405313682 0.1481490572193969
frl_apartment_4_00001 0 1 4 0.09371044405313682 -0.11390866367646708
frl_apartment_4_00002 0 1 2 0.09371044405313682 0.03788900576727337
frl_apartment_4_00002 0 1 3 0.09371044405313682 0.1481490572193969
frl_apartment_4_00002 0 1 4 0.09371044405313682 -0.11390866367646708
frl_apartment_4_00003 0 1 2 0.09371044405313682 0.03788900576727337
frl_apartment_4_00003 0 1 3 0.09371044405313682 0.1481490572193969
frl_apartment_4_00003 0 1 4 0.09371044405313682 -0.11390866367646708
frl_apartment_4_00004 0 1 2 0.09371044405313682 0.03788900576727337
frl_apartment_4_00004 0 1 3 0.09371044405313682 0.1481490572193969
frl_apartment_4_00004 0 1 4 0.09371044405313682 -0.11390866367646708
frl_apartment_4_00005 0 1 2 0.09371044405313682 0.03788900576727337
frl_apartment_4_00005 0 1 3 0.09371044405313682 0.1481490572193969
frl_apartment_4_00005 0 1 4 0.09371044405313682 -0.11390866367646708
frl_apartment_4_00010 0 1 2 0.0428208736178972 0.035586190804053286
frl_apartment_4_00010 0 1 3 0.0428208736178972 0.13647642116999342
frl_apartment_4_00010 0 1 4 0.0428208736178972 -0.15985770224173607
frl_apartment_4_00011 0 1 2 0.0428208736178972 0.035586190804053286
frl_apartment_4_00011 0 1 3 0.0428208736178972 0.13647642116999342
frl_apartment_4_00011 0 1 4 0.0428208736178972 -0.15985770224173607
frl_apartment_4_00012 0 1 2 0.0428208736178972 0.035586190804053286
frl_apartment_4_00012 0 1 3 0.0428208736178972 0.13647642116999342
frl_apartment_4_00012 0 1 4 0.0428208736178972 -0.15985770224173607
frl_apartment_4_00013 0 1 2 0.0428208736178972 0.035586190804053286
frl_apartment_4_00013 0 1 3 0.0428208736178972 0.13647642116999342
frl_apartment_4_00013 0 1 4 0.0428208736178972 -0.15985770224173607
frl_apartment_4_00014 0 1 2 0.0428208736178972 0.035586190804053286
frl_apartment_4_00014 0 1 3 0.0428208736178972 0.13647642116999342
frl_apartment_4_00014 0 1 4 0.0428208736178972 -0.15985770224173607
frl_apartment_4_00015 0 1 2 0.0428208736178972 0.035586190804053286
frl_apartment_4_00015 0 1 3 0.0428208736178972 0.13647642116999342
frl_apartment_4_00015 0 1 4 0.0428208736178972 -0.15985770224173607
frl_apartment_4_00020 0 1 2 0.07198230792648659 0.06872236081513419
frl_apartment_4_00020 0 1 3 0.07198230792648659 0.17003169704824156
frl_apartment_4_00020 0 1 4 0.07198230792648659 -0.10529297724324915
