office_3_00000 0 1 2 0.11593044361855274 0.062475442290912175
office_3_00000 0 1 3 0.11593044361855274 0.12682982636902024
office_3_00000 0 1 4 0.11593044361855274 -0.13984216810465017
office_3_00001 0 1 2 0.11593044361855274 0.062475442290912175
office_3_00001 0 1 3 0.11593044361855274 0.12682982636902024
office_3_00001 0 1 4 0.11593044361855274 -0.13984216810465017
office_3_00002 0 1 2 0.11593044361855274 0.062475442290912175
office_3_00002 0 1 3 0.11593044361855274 0.12682982636902024
office_3_00002 0 1 4 0.11593044361855274 -0.13984216810465017
office_3_00003 0 1 2 0.11593044361855274 0.062475442290912175
office_3_00003 0 1 3 0.11593044361855274 0.12682982636902024
office_3_00003 0 1 4 0.11593044361855274 -0.13984216810465017
office_3_00004 0 1 2 0.11593044361855274 0.062475442290912175
office_3_00004 0 1 3 0.11593044361855274 0.12682982636902024
office_3_00004 0 1 4 0.11593044361855274 -0.13984216810465017
office_3_00005 0 1 2 0.11593044361855274 0.062475442290912175
office_3_00005 0 1 3 0.11593044361855274 0.12682982636902024
office_3_00005 0 1 4 0.11593044361855274 -0.13984216810465017
office_3_00010 0 1 2 0.03938602298167641 0.033145528361444555
office_3_00010 0 1 3 0.03938602298167641 0.059985816206810594
office_3_00010 0 1 4 0.03938602298167641 -0.1067109488607721
office_3_00011 0 1 2 0.03938602298167641 0.033145528361444555
office_3_00011 0 1 3 0.03938602298167641 0.059985816206810594
office_3_00011 0 1 4 0.03938602298167641 -0.1067109488607721
office_3_00012 0 1 2 0.03938602298167641 0.033145528361444555
office_3_00012 0 1 3 0.03938602298167641 0.059985816206810594
office_3_00012 0 1 4 0.03938602298167641 -0.1067109488607721
office_3_00013 0 1 2 0.03938602298167641 0.033145528361444555
office_3_00013 0 1 3 0.03938602298167641 0.059985816206810594
office_3_00013 0 1 4 0.03938602298167641 -0.1067109488607721
office_3_00014 0 1 2 0.03938602298167641 0.033145528361444555
office_3_00014 0 1 3 0.03938602298167641 0.059985816206810594
