hotel_0_00000 0 1 2 0.036114862885868654 0.028534244558083226
hotel_0_00000 0 1 3 0.036114862885868654 0.03982592355222468
hotel_0_00000 0 1 4 0.036114862885868654 -0.10395412777917375
hotel_0_00001 0 1 2 0.036114862885868654 0.028534244558083226
hotel_0_00001 0 1 3 0.036114862885868654 0.03982592355222468
hotel_0_00001 0 1 4 0.036114862885868654 -0.10395412777917375
hotel_0_00002 0 1 2 0.036114862885868654 0.028534244558083226
hotel_0_00002 0 1 3 0.036114862885868654 0.03982592355222468
hotel_0_00002 0 1 4 0.036114862885868654 -0.10395412777917375
hotel_0_00003 0 1 2 0.036114862885868654 0.028534244558083226
hotel_0_00003 0 1 3 0.036114862885868654 0.03982592355222468
hotel_0_00003 0 1 4 0.036114862885868654 -0.10395412777917375
hotel_0_00004 0 1 2 0.036114862885868654 0.028534244558083226
hotel_0_00004 0 1 3 0.036114862885868654 0.03982592355222468
hotel_0_00004 0 1 4 0.036114862885868654 -0.10395412777917375
hotel_0_00005 0 1 2 0.036114862885868654 0.028534244558083226
hotel_0_00005 0 1 3 0.036114862885868654 0.03982592355222468
hotel_0_00005 0 1 4 0.036114862885868654 -0.10395412777917375
hotel_0_00010 0 1 2 0.099571366051451 0.05462047535718721
hotel_0_00010 0 1 3 0.099571366051451 0.12247076093073025
hotel_0_00010 0 1 4 0.099571366051451 -0.11762998979968226
hotel_0_00011 0 1 2 0.099571366051451 0.05462047535718721
hotel_0_00011 0 1 3 0.099571366051451 0.12247076093073025
hotel_0_00011 0 1 4 0.099571366051451 -0.11762998979968226
hotel_0_00012 0 1 2 0.099571366051451 0.05462047535718721
hotel_0_00012 0 1 3 0.099571366051451 0.12247076093073025
hotel_0_00012 0 1 4 0.099571366051451 -0.11762998979968226
hotel_0_00013 0 1 2 0.099571366051451 0.05462047535718721
hotel_0_00013 0 1 3 0.099571366051451 0.12247076093073025
hotel_0_00013 0 1 4 0.099571366051451 -0.11762998979968226
hotel_0_00014 0 1 2 0.099571366051451 0.05462047535718721
hotel_0_00014 0 1 3 0.099571366051451 0.12247076093073025
hotel_0_00014 0 1 4 0.099571366051451 -0.11762998979968226
hotel_0_00015 0 1 2 0.099571366051451 0.05462047535718721
hotel_0_00015 0 1 3 0.099571366051451 0.12247076093073025
hotel_0_00015 0 1 4 0.099571366051451 -0.11762998979968226
hotel_0_00020 0 1 2 0.09558448822590697 0.07769180216771152
hotel_0_00020 0 1 3 0.09558448822590697 0.10732419333856792
hotel_0_00020 0 1 4 0.09558448822590697 -0.09711343245676687
hotel_0_00021 0 1 2 0.09558448822590697 0.07769180216771152
